603	0	14910
12442	0	14911
5190	0	14912
10237	0	14913
3149	0	14914
5477	0	14915
10428	0	14916
14290	0	14917
2579	0	14918
4853	1	14919
12873	0	14920
9697	1	14921
10563	0	14922
12141	1	14923
12159	2	14924
3171	0	14925
2200	1	14926
1498	2	14927
7913	0	14928
14804	0	14929
1948	0	14930
12865	2	14931
2686	0	14932
10491	0	14933
5227	0	14934
11584	0	14935
1890	0	14936
2207	0	14937
8073	0	14938
11680	1	14939
14828	0	14940
7901	1	14941
10518	0	14942
9948	1	14943
11263	0	14944
2760	2	14924
10349	0	14945
11439	0	14946
12201	0	14947
9869	0	14948
9741	0	14949
1004	1	14950
8659	2	14951
14098	0	14952
12526	0	14953
431	1	14954
13077	0	14955
1061	0	14956
581	3	14957
5897	0	14958
3131	3	14959
11554	0	14960
11598	0	14961
13135	0	14962
14694	0	14963
3494	2	14931
2908	0	14964
1856	1	14965
7333	0	14966
5585	0	14967
7095	0	14968
8692	0	14969
3511	1	14970
4119	1	14971
5459	0	14972
10278	0	14973
3401	0	14974
527	1	14975
11625	1	14976
13356	1	14977
4224	0	14978
7949	0	14979
1825	0	14980
2075	0	14981
3180	0	14982
7483	0	14983
11229	0	14984
10228	0	14985
2794	0	14986
10500	0	14987
7779	0	14988
5205	0	14989
220	0	14990
12320	0	14991
352	0	14992
6405	0	14993
6782	0	14994
9844	0	14995
1865	1	14996
6529	0	14997
1575	1	14998
4110	0	14999
14870	1	15000
1012	0	15001
8300	0	15002
13780	0	15003
4403	1	15004
4167	0	15005
13180	1	15006
7117	0	15007
1809	0	15008
6879	0	14912
12359	0	15009
6244	0	15010
9344	0	15011
1507	0	15012
11838	0	15013
14286	0	15014
10820	1	15015
10305	0	15016
2090	0	15017
11433	0	15018
13785	0	15019
3869	1	15020
12259	0	15021
11920	0	15022
7039	0	15023
14234	0	15024
9607	0	15025
12982	1	15026
5297	0	15027
6313	1	15028
4045	0	15029
925	1	15030
9403	0	15031
9200	0	15032
9794	2	15033
4293	0	15034
2371	0	15035
2879	0	15036
14522	1	15037
11094	0	15038
14106	0	15039
11445	0	15040
11739	0	15041
13128	0	15042
10503	1	15043
3773	0	15044
5316	0	15045
3111	1	15046
8929	0	14916
9643	0	15047
13556	1	15043
4195	0	15005
4191	0	15048
10558	0	15049
13182	0	15050
5117	0	15051
10252	0	15052
14496	0	15053
10148	0	15054
15	0	15055
7886	0	15056
1016	0	15057
3769	0	15058
7527	0	15059
11824	0	15060
6857	0	15061
1724	0	15062
4345	0	15063
11113	0	15064
12997	0	15065
1898	0	15066
1634	0	15067
14539	1	15068
4144	0	15069
