tag_id,tag_name
11305,['fantasy']
11557,['favorites']
8717,"['currently', 'reading']"
33114,"['young', 'adult']"
11743,['fiction']
14017,"['harry', 'potter']"
5207,['books']
22743,['owned']
27199,['series']
11590,['favourites']
18886,['magic']
6857,['children']
6888,['children']
2104,"['time', 'favorites']"
9221,['default']
3389,['audiobook']
22034,['novels']
17124,['kids']
11370,"['fantasy', 'sci']"
11497,['favorite']
22973,['paranormal']
20849,['library']
33009,['fantasy']
29452,['teen']
32623,['witches']
31617,"['urban', 'fantasy']"
5751,['british']
16427,['rowling']
24964,['reads']
6953,['childrens']
1691,['adventure']
22753,"['owned', 'books']"
15965,['rowling']
6828,['childhood']
26785,"['sci', 'fantasy']"
19974,"['middle', 'grade']"
7457,['classics']
25765,['reread']
20774,['books']
6895,"['children', 'books']"
11505,"['favorite', 'books']"
1128,['stars']
3392,['audiobooks']
26837,"['science', 'fiction']"
26771,['sci']
15048,['humor']
26894,['scifi']
7725,['comedy']
15067,['humour']
12680,['funny']
14552,['history']
21773,['nonfiction']
21689,['fiction']
26816,['science']
31155,['travel']
3461,['australia']
19733,['memoir']
3371,['audio']
4522,"['bill', 'bryson']"
19742,['memoirs']
31186,"['travel', 'writing']"
4949,"['book', 'club']"
4605,['biography']
31190,['travelogue']
17213,['kindle']
18045,['library']
10891,['essays']
2271,['america']
3611,['autobiography']
31656,['usa']
5858,['bryson']
10197,['ebook']
4615,"['biography', 'memoir']"
27669,"['short', 'stories']"
8683,['culture']
1642,['adult']
10210,['ebooks']
28009,['social']
31528,"['united', 'states']"
1416,['abandoned']
19738,"['memoir', 'biography']"
15060,['humorous']
32865,['writing']
18130,['life']
4521,['bill']
3379,"['audio', 'books']"
28601,['states']
10644,['english']
12940,['general']
31526,['united']
8738,['customs']
2497,['anecdotes']
10641,['england']
18318,['literary']
12388,['form']
31099,['traditions']
9306,['description']
8055,['contemporary']
3377,"['audio', 'book']"
31162,"['travel', 'books']"
17591,['language']
7404,['classic']
10731,"['epic', 'fantasy']"
15979,['tolkien']
14361,"['high', 'fantasy']"
18566,"['lord', 'rings']"
10729,['epic']
26897,"['scifi', 'fantasy']"
7423,"['classic', 'literature']"
11376,"['fantasy', 'scifi']"
20824,['favorites']
21989,['novel']
26842,"['science', 'fiction', 'fantasy']"
16674,"['jrr', 'tolkien']"
19959,"['middle', 'earth']"
5090,['books']
1659,"['adult', 'fiction']"
21024,['mythology']
30909,['tolkien']
2938,['art']
29045,['survival']
25438,"['realistic', 'fiction']"
26735,['school']
25114,['school']
6838,"['childhood', 'favorites']"
21457,['newbery']
12315,['school']
26740,"['school', 'books']"
16799,['juvenile']
6960,"['childrens', 'books']"
19983,"['middle', 'school']"
17129,"['kids', 'books']"
6829,"['childhood', 'books']"
7852,"['coming', 'age']"
14046,['hatchet']
33165,['youth']
6914,"['children', 'lit']"
6920,"['children', 'literature']"
33012,['fiction']
16805,"['juvenile', 'fiction']"
21466,"['newbery', 'honor']"
25191,['school']
1542,"['action', 'adventure']"
6847,"['childhood', 'reads']"
33023,['lit']
32477,['wilderness']
6178,['canada']
12850,"['gary', 'paulsen']"
6597,"['chapter', 'books']"
33124,"['young', 'adult', 'fiction']"
25034,['kid']
6976,"['childrens', 'lit']"
7484,"['classroom', 'library']"
26754,"['school', 'reads']"
25436,['realistic']
12948,"['general', 'fiction']"
21195,['nature']
8075,"['contemporary', 'realistic', 'fiction']"
21447,['newberry']
1200,['grade']
1173,['grade']
32996,['books']
20785,['childhood']
10404,"['elementary', 'school']"
14487,"['historical', 'fiction']"
24609,['pulitzer']
23005,['parenting']
3739,['baby']
25562,['reference']
14134,['health']
11221,['family']
3735,['babies']
10007,['dune']
12479,"['frank', 'herbert']"
28247,"['space', 'opera']"
10013,"['dune', 'series']"
28300,"['speculative', 'fiction']"
25647,['religion']
27403,['fantasy']
28235,['space']
26774,"['sci', 'fantasy']"
14278,['herbert']
18367,['literature']
10009,"['dune', 'chronicles']"
26838,"['science', 'fiction', 'fantasy']"
3358,['audible']
11287,['fantascienza']
2277,['american']
923,['century']
22944,['paperback']
23931,['politics']
23694,['place']
26884,['sciencefiction']
15301,['imaginary']
23471,['philosophy']
14280,"['herbert', 'frank']"
7308,"['ciencia', 'ficción']"
10094,['books']
31557,['unread']
6122,['calibre']
2982,"['art', 'books']"
1746,['africa']
8067,"['contemporary', 'fiction']"
31505,['unfinished']
18326,"['literary', 'fiction']"
2313,"['american', 'literature']"
10817,['erotic']
20299,"['modern', 'library', 'top']"
9477,['finish']
7478,['classics']
18292,['lit']
261,['import']
254,"['books', 'must']"
20294,"['modern', 'library', 'best', 'novels']"
26138,['romance']
10835,['erótica']
240,['books']
248,['books']
20731,['must']
30976,['top']
30463,"['time', 'top']"
9484,['finish']
30635,['classics']
10932,['europe']
5051,['bookclub']
2098,"['time', 'novels']"
2294,"['american', 'fiction']"
12869,['gave']
3885,"['banned', 'books']"
21111,['narrativa']
20291,"['modern', 'library']"
8346,['finish']
2335,['americana']
19524,['maybe']
9638,['dnf']
14752,['home']
23026,['paris']
28805,"['stream', 'consciousness']"
14267,"['henry', 'miller']"
27556,"['shelfari', 'wishlist']"
14764,"['home', 'library']"
20279,['modern']
11834,['fiction']
28740,"['stopped', 'reading']"
3069,"['art', 'manliness']"
9886,['drama']
25506,['recommended']
11978,['finished']
22376,['shelf']
23349,"['personal', 'library']"
18606,"['lost', 'generation']"
210,"['essential', 'novels']"
3886,"['banned', 'challenged']"
30672,['fiction']
29316,['tbr']
21374,"['never', 'finished']"
8344,"['could', 'finish']"
8104,['controversial']
27535,"['shelfari', 'favorites']"
20282,"['modern', 'classics']"
509,['century']
2312,"['american', 'lit']"
7417,"['classic', 'fiction']"
14266,"['henry', 'james']"
31859,['victorian']
251,['books']
12553,['french']
23831,['poetry']
2828,['arabic']
33390,['أدب']
28384,['spirituality']
16841,"['kahlil', 'gibran']"
17069,"['khalil', 'gibran']"
